epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.715,1.81184,2.54389,1.38171,0.67405,0.53713,0.59249,0.26733,1.82304,1.87523,1.58771,0.000664032,0.000664032,0.000664032
2,194.729,1.90071,1.75015,1.46972,0.61781,0.50991,0.53526,0.24294,2.02898,1.8487,1.69955,0.00130435,0.00130435,0.00130435
3,286.946,1.89946,1.58312,1.48626,0.65623,0.57006,0.5892,0.24562,1.95201,2.98528,1.67152,0.00191827,0.00191827,0.00191827
4,381.218,1.84368,1.49071,1.46095,0.72684,0.63656,0.68879,0.33621,1.78227,1.35517,1.54947,0.0018812,0.0018812,0.0018812
5,473.164,1.82426,1.40176,1.43604,0.76112,0.67943,0.74032,0.36018,1.74304,1.48554,1.53911,0.0018416,0.0018416,0.0018416
6,567.424,1.76822,1.314,1.40664,0.8428,0.72454,0.80153,0.40476,1.67008,1.15679,1.4574,0.001802,0.001802,0.001802
7,661.058,1.73354,1.27579,1.40055,0.84022,0.72386,0.81599,0.43525,1.60197,1.08604,1.43582,0.0017624,0.0017624,0.0017624
8,752.152,1.69209,1.22229,1.36071,0.83967,0.72659,0.81256,0.44737,1.5755,1.05865,1.3952,0.0017228,0.0017228,0.0017228
9,842.189,1.66714,1.17818,1.34417,0.84862,0.72932,0.8082,0.43351,1.61258,1.04783,1.42182,0.0016832,0.0016832,0.0016832
10,928.469,1.67384,1.1587,1.33489,0.85311,0.77016,0.83746,0.47026,1.56231,1.01234,1.38381,0.0016436,0.0016436,0.0016436
11,1018.2,1.64665,1.13966,1.32416,0.86245,0.77146,0.84308,0.4783,1.51965,0.9768,1.37179,0.001604,0.001604,0.001604
12,1108.68,1.62352,1.12872,1.30808,0.88004,0.76145,0.8504,0.47013,1.56661,0.98663,1.38729,0.0015644,0.0015644,0.0015644
13,1200.57,1.61822,1.09541,1.30881,0.8848,0.77102,0.85829,0.48143,1.55982,0.93585,1.35517,0.0015248,0.0015248,0.0015248
14,1291.89,1.57741,1.07206,1.27878,0.8991,0.79016,0.86814,0.48947,1.51432,0.89965,1.32867,0.0014852,0.0014852,0.0014852
15,1381.01,1.56109,1.04695,1.2855,0.92665,0.79631,0.88003,0.49704,1.52945,0.88463,1.34187,0.0014456,0.0014456,0.0014456
16,1469.01,1.57278,1.05576,1.28168,0.89078,0.79164,0.87085,0.50351,1.50708,0.88328,1.33549,0.001406,0.001406,0.001406
17,1552.92,1.54232,1.04002,1.26234,0.89659,0.77631,0.86264,0.50723,1.44511,0.91916,1.31073,0.0013664,0.0013664,0.0013664
18,1636.62,1.52096,1.00204,1.25276,0.90013,0.77854,0.87073,0.52511,1.41178,0.88682,1.29977,0.0013268,0.0013268,0.0013268
19,1720.88,1.50869,0.97817,1.23933,0.89796,0.77649,0.86566,0.49697,1.49245,0.91052,1.33867,0.0012872,0.0012872,0.0012872
20,1803.22,1.49531,0.96154,1.2355,0.91846,0.80842,0.89075,0.53453,1.4282,0.84059,1.28516,0.0012476,0.0012476,0.0012476
21,1887.05,1.49375,0.95891,1.23158,0.92142,0.82843,0.8996,0.52859,1.43987,0.82851,1.30869,0.001208,0.001208,0.001208
22,1973.31,1.4912,0.94339,1.23567,0.91103,0.81187,0.88857,0.52846,1.44213,0.8229,1.28622,0.0011684,0.0011684,0.0011684
23,2057.24,1.46957,0.93534,1.22533,0.90202,0.81818,0.88842,0.53752,1.3966,0.81192,1.28673,0.0011288,0.0011288,0.0011288
24,2141.09,1.44176,0.92398,1.22012,0.91928,0.8173,0.89699,0.54738,1.3674,0.77928,1.27789,0.0010892,0.0010892,0.0010892
25,2224.07,1.45883,0.92416,1.21649,0.9263,0.83335,0.90695,0.55731,1.38514,0.75996,1.26477,0.0010496,0.0010496,0.0010496
26,2305.97,1.44789,0.89961,1.20619,0.91673,0.83254,0.91044,0.56401,1.35279,0.74593,1.24257,0.00101,0.00101,0.00101
27,2387.11,1.41794,0.86039,1.19353,0.91798,0.83937,0.91124,0.56087,1.36813,0.76771,1.24997,0.0009704,0.0009704,0.0009704
28,2469.17,1.41036,0.87429,1.18612,0.92236,0.84449,0.90981,0.57129,1.32423,0.74706,1.23975,0.0009308,0.0009308,0.0009308
29,2551.62,1.40114,0.86309,1.19037,0.93241,0.84347,0.9137,0.57064,1.35166,0.71879,1.24779,0.0008912,0.0008912,0.0008912
30,2633.43,1.38327,0.84416,1.18299,0.92504,0.84826,0.91438,0.57255,1.32784,0.71269,1.24357,0.0008516,0.0008516,0.0008516
31,2716.79,1.38766,0.82693,1.17723,0.93045,0.85039,0.91881,0.57128,1.32966,0.68608,1.23125,0.000812,0.000812,0.000812
32,2802.12,1.38263,0.82633,1.1635,0.943,0.8368,0.91615,0.57498,1.30869,0.71117,1.22239,0.0007724,0.0007724,0.0007724
33,2887.16,1.35813,0.80602,1.16196,0.9286,0.86535,0.91979,0.58029,1.29493,0.68812,1.21197,0.0007328,0.0007328,0.0007328
34,2971.96,1.33832,0.7964,1.15559,0.94525,0.8615,0.92306,0.58631,1.30318,0.6864,1.22076,0.0006932,0.0006932,0.0006932
35,3058.0,1.34563,0.79972,1.15515,0.94315,0.86189,0.92537,0.59345,1.29295,0.66096,1.2174,0.0006536,0.0006536,0.0006536
36,3142.05,1.32197,0.77257,1.13841,0.9405,0.87013,0.92457,0.59472,1.27116,0.665,1.2032,0.000614,0.000614,0.000614
37,3226.36,1.32601,0.77526,1.13883,0.93265,0.87076,0.92419,0.5886,1.30903,0.65977,1.21007,0.0005744,0.0005744,0.0005744
38,3312.96,1.29996,0.76256,1.13354,0.9415,0.87697,0.92526,0.60275,1.27173,0.64627,1.19922,0.0005348,0.0005348,0.0005348
39,3399.22,1.29157,0.73551,1.12968,0.94554,0.87814,0.92923,0.59686,1.28796,0.63918,1.20552,0.0004952,0.0004952,0.0004952
40,3485.67,1.28859,0.75342,1.12195,0.92826,0.8756,0.92856,0.6053,1.25005,0.63395,1.17697,0.0004556,0.0004556,0.0004556
41,3570.25,1.2402,0.69799,1.12034,0.94994,0.86903,0.92791,0.59938,1.25939,0.64506,1.18354,0.000416,0.000416,0.000416
42,3650.99,1.22302,0.67685,1.12039,0.94842,0.8715,0.93044,0.60951,1.23904,0.62668,1.18387,0.0003764,0.0003764,0.0003764
43,3733.33,1.21455,0.66723,1.1135,0.94888,0.86945,0.93379,0.60915,1.25933,0.62316,1.18822,0.0003368,0.0003368,0.0003368
44,3814.59,1.20037,0.66924,1.11497,0.94727,0.87355,0.92689,0.60903,1.25635,0.61691,1.18595,0.0002972,0.0002972,0.0002972
45,3894.49,1.18962,0.64329,1.10369,0.95192,0.87972,0.93142,0.61714,1.22607,0.61096,1.17192,0.0002576,0.0002576,0.0002576
46,3973.68,1.18021,0.64471,1.09451,0.94836,0.88859,0.93299,0.61547,1.22426,0.60589,1.17475,0.000218,0.000218,0.000218
47,4053.31,1.17417,0.62453,1.09404,0.95583,0.88175,0.93661,0.61985,1.23449,0.59917,1.1782,0.0001784,0.0001784,0.0001784
48,4130.93,1.14879,0.62231,1.08989,0.95355,0.88517,0.93765,0.62609,1.20821,0.58889,1.16719,0.0001388,0.0001388,0.0001388
49,4210.29,1.15338,0.62257,1.08475,0.9564,0.88472,0.93826,0.6249,1.21505,0.58811,1.16873,9.92e-05,9.92e-05,9.92e-05
50,4289.05,1.12673,0.59545,1.06878,0.9559,0.87833,0.93777,0.62735,1.21231,0.58085,1.16584,5.96e-05,5.96e-05,5.96e-05
