Episode,Goal_Index,Reward,Steps,Success,Collisions
1,1,213.0,14,1,0
2,0,1.01,8,0,1
3,1,213.0,14,1,0
4,1,213.0,14,1,0
5,0,212.82,15,1,0
6,0,212.81,15,1,0
7,0,212.82,15,1,0
8,0,1.01,8,0,1
9,1,213.0,14,1,0
10,0,1.01,8,0,1
11,0,212.82,15,1,0
12,0,-0.76,6,0,1
13,1,213.0,14,1,0
14,1,213.0,14,1,0
15,1,213.0,14,1,0
16,0,1.01,8,0,1
17,0,212.82,15,1,0
18,1,213.0,14,1,0
19,0,212.59,17,1,0
20,1,213.0,14,1,0
21,1,213.0,14,1,0
22,0,212.81,15,1,0
23,1,213.0,14,1,0
24,0,212.82,15,1,0
25,1,213.0,14,1,0
26,0,1.01,8,0,1
27,1,213.0,14,1,0
28,0,212.59,17,1,0
29,0,212.82,15,1,0
30,1,213.0,14,1,0
31,1,213.0,14,1,0
32,0,212.82,15,1,0
33,0,1.01,8,0,1
34,1,213.0,14,1,0
35,0,212.81,15,1,0
36,1,213.0,14,1,0
37,1,2.93,9,0,1
38,0,1.01,8,0,1
39,1,213.0,14,1,0
40,1,213.0,14,1,0
41,1,213.0,14,1,0
42,1,213.0,14,1,0
43,1,213.0,14,1,0
44,1,213.0,14,1,0
45,0,212.82,15,1,0
46,0,1.01,8,0,1
47,1,213.0,14,1,0
48,0,212.59,17,1,0
49,0,212.82,15,1,0
50,1,213.0,14,1,0
51,0,212.81,15,1,0
52,1,213.0,14,1,0
53,0,1.01,8,0,1
54,1,213.0,14,1,0
55,0,212.82,15,1,0
56,1,213.0,14,1,0
57,0,212.82,15,1,0
58,1,213.0,14,1,0
59,1,213.0,14,1,0
60,0,212.82,15,1,0
61,0,1.01,8,0,1
62,0,212.82,15,1,0
63,1,213.0,14,1,0
64,1,213.0,14,1,0
65,1,213.0,14,1,0
66,0,212.59,17,1,0
67,0,1.01,8,0,1
68,0,1.01,8,0,1
69,1,213.0,14,1,0
70,0,212.82,15,1,0
71,1,213.0,14,1,0
72,0,212.82,15,1,0
73,1,213.0,14,1,0
74,0,212.82,15,1,0
75,0,212.82,15,1,0
76,0,212.81,15,1,0
77,0,1.01,8,0,1
78,1,213.0,14,1,0
79,1,213.0,14,1,0
80,0,212.82,15,1,0
81,0,212.82,15,1,0
82,0,212.82,15,1,0
83,1,213.0,14,1,0
84,0,212.59,17,1,0
85,0,3.99,50,0,0
86,0,212.81,15,1,0
87,1,213.0,14,1,0
88,0,1.01,8,0,1
89,1,2.93,9,0,1
90,0,212.82,15,1,0
91,0,1.01,8,0,1
92,0,212.82,15,1,0
93,0,212.82,15,1,0
94,1,213.0,14,1,0
95,1,213.0,14,1,0
96,1,213.0,14,1,0
97,1,213.0,14,1,0
98,1,213.0,14,1,0
99,1,2.93,9,0,1
100,1,213.0,14,1,0
101,0,1.01,8,0,1
102,0,1.01,8,0,1
103,0,1.01,8,0,1
104,1,213.0,14,1,0
105,1,213.0,14,1,0
106,1,213.0,14,1,0
107,0,212.82,15,1,0
108,1,213.0,14,1,0
109,1,213.0,14,1,0
110,0,212.82,15,1,0
111,0,212.81,15,1,0
112,0,212.82,15,1,0
113,1,213.0,14,1,0
114,1,213.0,14,1,0
115,0,212.82,15,1,0
116,0,212.82,15,1,0
117,1,213.0,14,1,0
118,0,212.82,15,1,0
119,0,212.82,15,1,0
120,0,1.01,8,0,1
121,0,211.91,23,1,0
122,1,213.0,14,1,0
123,0,212.82,15,1,0
124,1,213.0,14,1,0
125,0,1.01,8,0,1
126,0,212.58,17,1,0
127,1,213.0,14,1,0
128,0,212.82,15,1,0
129,0,1.01,8,0,1
130,1,213.0,14,1,0
131,0,212.82,15,1,0
132,0,212.82,15,1,0
133,0,212.81,15,1,0
134,1,213.0,14,1,0
135,0,212.82,15,1,0
136,1,213.0,14,1,0
137,0,212.82,15,1,0
138,0,1.01,8,0,1
139,1,213.0,14,1,0
140,0,212.81,15,1,0
141,1,213.0,14,1,0
142,0,1.01,8,0,1
143,0,212.82,15,1,0
144,0,212.59,17,1,0
145,1,213.0,14,1,0
146,0,212.82,15,1,0
147,0,212.82,15,1,0
148,1,213.0,14,1,0
149,1,213.0,14,1,0
150,0,1.01,8,0,1
151,0,-0.76,6,0,1
152,0,1.01,8,0,1
153,0,212.82,15,1,0
154,0,1.01,8,0,1
155,0,212.82,15,1,0
156,0,212.82,15,1,0
157,1,213.0,14,1,0
158,1,213.0,14,1,0
159,0,212.82,15,1,0
160,1,213.0,14,1,0
161,1,213.0,14,1,0
162,1,213.0,14,1,0
163,1,2.93,9,0,1
164,0,1.01,8,0,1
165,0,212.82,15,1,0
166,1,213.0,14,1,0
167,0,212.82,15,1,0
168,0,212.81,15,1,0
169,1,213.0,14,1,0
170,0,1.01,8,0,1
171,0,1.01,8,0,1
172,1,213.0,14,1,0
173,0,212.82,15,1,0
174,1,213.0,14,1,0
175,1,213.0,14,1,0
176,1,213.0,14,1,0
177,0,212.81,15,1,0
178,1,2.93,9,0,1
179,1,213.0,14,1,0
180,0,1.01,8,0,1
181,0,212.82,15,1,0
182,1,213.0,14,1,0
183,0,212.82,15,1,0
184,1,213.0,14,1,0
185,0,212.82,15,1,0
186,0,212.82,15,1,0
187,1,213.0,14,1,0
188,0,-0.76,6,0,1
189,1,2.93,9,0,1
190,0,212.81,15,1,0
191,0,1.01,8,0,1
192,0,212.82,15,1,0
193,0,212.82,15,1,0
194,0,212.82,15,1,0
195,0,212.81,15,1,0
196,1,213.0,14,1,0
197,1,213.0,14,1,0
198,0,1.01,8,0,1
199,1,213.0,14,1,0
200,0,212.82,15,1,0
