timestep,area_coverage,obstacle_avoidance,path_efficiency,revisits,collisions,exploration_diversity,avg_reward,global_area_coverage,episode_area_coverage,explained_variance,value_loss,elapsed_time
2048,1,0.8719,1.2037,0,110,0.999,725.7334,1,1,0,0,2.88
4096,1,0.8656,1.9846,0,70,0.999,442.8046,1,1,0,0.3874,8.24
6144,1,0.886,3.8015,0,31,0.999,264.3662,1,0.7151,0,0.0554,12.67
8192,1,0.86,10.34,0,14,0.999,107.6585,1,0.2552,0,0.0293,16.83
10240,1,0.9308,0.9801,0,73,0.999,1024.9101,1,1,0,0.0202,20.48
12288,1,0.9518,1.1325,0,44,0.999,933.4197,1,1,0,0.014,24.4
14336,1,0.9649,1.2974,0,28,0.999,843.9863,1,1,0,0.0111,28.73
16384,1,0.9773,1.4646,0,16,0.999,776.5949,1,1,0,0.0092,32.43
18432,1,0.9903,1.6651,0,6,0.999,707.8225,1,1,0,0.0081,36.28
20480,1,0.9895,1.8045,0,6,0.999,652.5487,1,1,0,0.0075,40.83
22528,1,0.983,1.9546,0,9,0.999,600.7986,1,1,0,0.0062,44.74
24576,1,0.9873,2.1814,0,6,0.999,547.8473,1,1,0,0.0069,48.65
26624,1,0.9908,2.388,0,4,0.999,506.1558,1,1,0,0.0063,53.36
28672,1,0.9898,2.6244,0,4,0.999,461.8197,1,1,0,0.0054,56.95
30720,1,0.9916,2.8964,0,3,0.999,426.1612,1,1,0,0.005,60.6
32768,1,1,3.1333,0,0,0.999,403.4855,1,0.9792,0,0.0041,65.11
34816,1,0.99,3.4352,0,3,0.999,359.3547,1,0.8843,0,0.0031,68.97
36864,1,0.9963,3.8155,0,1,0.999,334.5524,1,0.8012,0,0.0029,72.76
38912,1,0.9918,4.2204,0,2,0.999,303.4404,1,0.7211,0,0.0022,77.23
40960,1,0.9954,4.7431,0,1,0.999,275.3279,1,0.6439,0,0.0017,81.4
43008,1,1,5.4136,0,0,0.999,248.5062,1,0.5668,0,0.0015,85.16
45056,1,0.9941,6.1183,0,1,0.999,220.5548,1,0.4985,0,0.0011,89.41
47104,1,1,7.131,0,0,0.999,194.9311,1,0.4303,0,0.0009,93.58
49152,1,0.9917,8.5455,0,1,0.999,163.4944,1,0.3561,0,0.0007,97.26
51200,1,1,10.6598,0,0,0.999,136.5594,1,0.2878,0,0.0006,101.37
53248,1,1,13.7867,0,0,0.999,107.7877,1,0.2226,0,0.0005,105.84
55296,1,1,19.5094,0,0,0.999,79.1,1,0.1573,0,0.0005,110
57344,1,1,35.6552,0,0,0.999,43.5,1,0.0861,0,0.0004,113.97
59392,1,1,206.8,0,0,0.999,7.5,1,0.0148,0,0.0005,118.42
61440,1,1,1.0177,0,0,0.999,1152.0401,1,1,0,0.0006,122.02
63488,1,1,1.0392,0,0,0.999,1129.4123,1,1,0,0.0004,125.71
65536,1,1,1.0616,0,0,0.999,1106.9509,1,1,0,0.0003,130.43
67584,1,1,1.0873,0,0,0.999,1082.0841,1,1,0,0.0003,134.14
69632,1,0.9989,1.1118,0,1,0.999,1057.3921,1,1,0,0.0003,138.38
71680,1,1,1.1375,0,0,0.999,1036.7771,1,1,0,0.0003,143.27
73728,1,1,1.1631,0,0,0.999,1015.2649,1,1,0,0.0002,146.84
75776,1,1,1.1899,0,0,0.999,993.5231,1,1,0,0.0002,150.66
77824,1,0.9988,1.2193,0,1,0.999,968.7311,1,1,0,0.0002,155.24
79872,1,0.9988,1.2533,0,1,0.999,943.6486,1,1,0,0.0002,158.76
81920,1,1,1.2877,0,0,0.999,921.8354,1,1,0,0.0003,162.48
83968,1,1,1.3239,0,0,0.999,897.8297,1,1,0,0.0002,166.85
86016,1,1,1.3605,0,0,0.999,874.8349,1,1,0,0.0002,170.58
88064,1,1,1.3973,0,0,0.999,853.0002,1,1,0,0.0002,174.17
90112,1,1,1.4401,0,0,0.999,828.7265,1,1,0,0.0001,178.11
92160,1,0.9986,1.4835,0,1,0.999,801.6921,1,1,0,0.0002,182.23
94208,1,1,1.5364,0,0,0.999,780.3105,1,1,0,0.0002,185.92
96256,1,1,1.5859,0,0,0.999,757.5067,1,1,0,0.0002,189.52
98304,1,1,1.6387,0,0,0.999,734.9814,1,1,0,0.0002,193.98
100352,1,1,1.6923,0,0,0.999,713.1433,1,1,0,0.0002,197.47
