iteration,fps,time_elapsed,total_timesteps,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
2,495,8,4096,0.008420469,0.0701,0.2,-1.79,-0.00968,0.0003,-0.00681,10,-0.00866,0.387
3,483,12,6144,0.020187853,0.156,0.2,-1.77,-0.0689,0.0003,-0.0425,20,-0.0166,0.0554
4,486,16,8192,0.011068083,0.111,0.2,-1.74,0.365,0.0003,-0.00419,30,-0.0146,0.0293
5,499,20,10240,0.010924896,0.114,0.2,-1.7,0.595,0.0003,-0.0313,40,-0.0151,0.0202
6,503,24,12288,0.0102113625,0.136,0.2,-1.67,0.767,0.0003,-0.0444,50,-0.0158,0.014
7,498,28,14336,0.009460653,0.0941,0.2,-1.64,0.816,0.0003,-0.00906,60,-0.0126,0.0111
8,504,32,16384,0.010561721,0.106,0.2,-1.61,0.844,0.0003,-0.0112,70,-0.0106,0.00923
9,507,36,18432,0.01632425,0.121,0.2,-1.57,0.857,0.0003,-0.0165,80,-0.0139,0.00807
10,501,40,20480,0.011045349,0.0935,0.2,-1.54,0.894,0.0003,0.0543,90,-0.00754,0.00747
11,503,44,22528,0.009336786,0.0935,0.2,-1.5,0.934,0.0003,0.0155,100,-0.00737,0.00625
12,504,48,24576,0.013045292,0.153,0.2,-1.47,0.941,0.0003,-0.0284,110,-0.0161,0.00695
13,498,53,26624,0.011881725,0.12,0.2,-1.42,0.953,0.0003,-0.0338,120,-0.0144,0.00634
14,503,56,28672,0.01099422,0.0994,0.2,-1.39,0.966,0.0003,-0.0192,130,-0.0101,0.00538
15,506,60,30720,0.014732782,0.107,0.2,-1.35,0.973,0.0003,-0.0251,140,-0.00651,0.00501
16,502,65,32768,0.013207601,0.131,0.2,-1.3,0.98,0.0003,0.0232,150,-0.0128,0.00414
17,504,68,34816,0.009103997,0.0901,0.2,-1.27,0.985,0.0003,-0.00649,160,-0.0091,0.00306
18,506,72,36864,0.0074930694,0.0745,0.2,-1.25,0.988,0.0003,-0.0241,170,-0.00726,0.00288
19,503,77,38912,0.012011735,0.105,0.2,-1.2,0.99,0.0003,-0.0285,180,-0.00803,0.00221
20,503,81,40960,0.010303884,0.0935,0.2,-1.15,0.993,0.0003,0.0102,190,-0.00909,0.00171
21,504,85,43008,0.0105341375,0.127,0.2,-1.13,0.994,0.0003,-0.0227,200,-0.00921,0.0015
22,503,89,45056,0.009585768,0.0842,0.2,-1.11,0.995,0.0003,0.0251,210,-0.00875,0.0011
23,503,93,47104,0.012042648,0.0883,0.2,-1.11,0.997,0.0003,-0.0278,220,-0.00903,0.000853
24,505,97,49152,0.012451874,0.0926,0.2,-1.08,0.998,0.0003,0.00065,230,-0.00753,0.000707
25,504,101,51200,0.007715464,0.0721,0.2,-1.05,0.998,0.0003,0.0044,240,-0.00582,0.000611
26,502,105,53248,0.00867019,0.0608,0.2,-1.04,0.998,0.0003,-0.00148,250,-0.0054,0.000537
27,502,110,55296,0.0071455613,0.0644,0.2,-1.02,0.999,0.0003,-0.00687,260,-0.00833,0.00047
28,503,114,57344,0.006532687,0.0871,0.2,-1,0.999,0.0003,-0.0105,270,-0.00559,0.000398
29,501,118,59392,0.0076329177,0.0792,0.2,-1,0.999,0.0003,0.00239,280,-0.00766,0.000485
30,503,122,61440,0.0072435956,0.0761,0.2,-0.996,0.998,0.0003,0.00123,290,-0.0072,0.0006
31,504,125,63488,0.00939514,0.118,0.2,-0.976,0.999,0.0003,0.0158,300,-0.00769,0.000409
32,502,130,65536,0.008356148,0.0837,0.2,-0.95,0.999,0.0003,-0.00747,310,-0.00626,0.00031
33,503,134,67584,0.0074900296,0.0783,0.2,-0.94,0.999,0.0003,-0.00961,320,-0.00634,0.000256
34,503,138,69632,0.009628494,0.105,0.2,-0.904,0.999,0.0003,-0.006,330,-0.00705,0.000323
35,500,143,71680,0.00830164,0.0872,0.2,-0.883,0.999,0.0003,-0.0179,340,-0.00606,0.000317
36,502,146,73728,0.006603838,0.0592,0.2,-0.88,1,0.0003,-0.0195,350,-0.00422,0.000199
37,502,150,75776,0.004957571,0.0484,0.2,-0.878,1,0.0003,0.0092,360,-0.00534,0.000184
38,501,155,77824,0.0051474487,0.0472,0.2,-0.864,1,0.0003,-0.00195,370,-0.00406,0.000192
39,503,158,79872,0.006569158,0.0676,0.2,-0.861,1,0.0003,0.012,380,-0.00549,0.000227
40,504,162,81920,0.010845737,0.113,0.2,-0.866,0.999,0.0003,-0.0116,390,-0.00961,0.000262
41,503,166,83968,0.0072747464,0.0865,0.2,-0.887,1,0.0003,-0.016,400,-0.00687,0.000201
42,504,170,86016,0.0056328,0.0417,0.2,-0.877,1,0.0003,-0.00762,410,-0.00533,0.000236
43,505,174,88064,0.003740685,0.0288,0.2,-0.869,1,0.0003,-0.0093,420,-0.00307,0.000172
44,505,178,90112,0.005559477,0.0483,0.2,-0.868,1,0.0003,-0.00729,430,-0.00355,0.000118
45,505,182,92160,0.0060734022,0.0602,0.2,-0.861,1,0.0003,0.002,440,-0.0051,0.000186
46,506,185,94208,0.008274425,0.107,0.2,-0.856,0.999,0.0003,-0.0141,450,-0.00688,0.00021
47,507,189,96256,0.0054018945,0.0419,0.2,-0.854,1,0.0003,-0.00898,460,-0.00476,0.000239
48,506,193,98304,0.009280069,0.102,0.2,-0.858,1,0.0003,-0.0117,470,-0.0066,0.000168
49,508,197,100352,0.007134488,0.0851,0.2,-0.841,1,0.0003,-0.00976,480,-0.00612,0.000153
