iteration,fps,time_elapsed,total_timesteps,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
1,745,2,2048,,,,,,,,,,
2,600,6,4096,0.026435181,0.153,0.2,-1.78,-0.0861,0.0003,-0.00336,10,-0.0135,0.162
3,564,10,6144,0.015468122,0.129,0.2,-1.77,-0.0601,0.0003,0.0106,20,-0.0141,0.0282
4,530,15,8192,0.015334312,0.132,0.2,-1.74,0.363,0.0003,0.0279,30,-0.0154,0.023
5,519,19,10240,0.015297195,0.144,0.2,-1.69,0.637,0.0003,-0.00191,40,-0.0132,0.0233
6,521,23,12288,0.018348806,0.123,0.2,-1.63,0.803,0.0003,0.0323,50,-0.00951,0.0193
7,519,27,14336,0.019996244,0.147,0.2,-1.59,0.862,0.0003,0.0118,60,-0.00972,0.0199
8,516,31,16384,0.024070876,0.0682,0.2,-1.59,0.879,0.0003,-0.00313,70,-0.00793,0.0196
9,517,35,18432,0.00714387,0.0272,0.2,-1.59,0.882,0.0003,0.0221,80,-0.00317,0.0164
10,512,39,20480,0.014515833,0.0669,0.2,-1.59,0.942,0.0003,-0.00327,90,-0.00429,0.0146
11,505,44,22528,0.007724532,0.0337,0.2,-1.58,0.958,0.0003,0.00732,100,-0.00403,0.0124
12,506,48,24576,0.012202483,0.0959,0.2,-1.55,0.968,0.0003,-0.0181,110,-0.0113,0.0121
13,508,52,26624,0.012328403,0.101,0.2,-1.52,0.976,0.0003,-0.0385,120,-0.0106,0.0102
14,506,56,28672,0.02144951,0.149,0.2,-1.51,0.983,0.0003,-0.0125,130,-0.0123,0.00761
15,510,60,30720,0.013711625,0.144,0.2,-1.49,0.981,0.0003,0.0278,140,-0.012,0.00746
16,512,63,32768,0.009385657,0.071,0.2,-1.45,0.989,0.0003,-0.0114,150,-0.00489,0.00625
17,508,68,34816,0.007630666,0.0464,0.2,-1.44,0.988,0.0003,-0.00143,160,-0.00802,0.00679
18,511,72,36864,0.011817048,0.0915,0.2,-1.42,0.995,0.0003,-0.0154,170,-0.00564,0.00398
19,514,75,38912,0.011691948,0.0818,0.2,-1.41,0.995,0.0003,0.0395,180,-0.00681,0.0038
20,510,80,40960,0.006709588,0.0459,0.2,-1.38,0.996,0.0003,-0.0108,190,-0.00512,0.00313
21,512,83,43008,0.006409386,0.0593,0.2,-1.37,0.996,0.0003,-0.0189,200,-0.00813,0.00332
22,512,87,45056,0.00733598,0.0677,0.2,-1.35,0.997,0.0003,-0.0076,210,-0.00503,0.00235
23,509,92,47104,0.007756797,0.0376,0.2,-1.36,0.997,0.0003,0.00677,220,-0.00271,0.00226
24,511,96,49152,0.009785156,0.0205,0.2,-1.34,0.998,0.0003,-0.0362,230,-0.000613,0.00192
25,512,99,51200,0.008652629,0.0742,0.2,-1.35,0.997,0.0003,-0.021,240,-0.00641,0.002
26,511,104,53248,0.013035612,0.11,0.2,-1.33,0.998,0.0003,-0.0269,250,-0.0103,0.00141
27,512,107,55296,0.008253397,0.0598,0.2,-1.34,0.999,0.0003,-0.0186,260,-0.0053,0.00102
28,513,111,57344,0.006437434,0.0448,0.2,-1.34,0.999,0.0003,-0.00181,270,-0.00418,0.000535
29,513,115,59392,0.010447109,0.08,0.2,-1.34,0.999,0.0003,-0.0242,280,-0.00627,0.000642
30,512,119,61440,0.010022441,0.0714,0.2,-1.33,0.998,0.0003,-0.0172,290,-0.00551,0.00113
31,513,123,63488,0.009001795,0.0855,0.2,-1.3,0.999,0.0003,-0.0303,300,-0.00347,0.000459
32,514,127,65536,0.011401846,0.103,0.2,-1.28,1,0.0003,-0.00608,310,-0.00952,0.000353
33,513,131,67584,0.01059577,0.0806,0.2,-1.26,1,0.0003,0.0145,320,-0.00999,0.000528
34,514,135,69632,0.008116596,0.055,0.2,-1.24,1,0.0003,-0.00622,330,-0.00441,0.000198
35,515,139,71680,0.015351267,0.0737,0.2,-1.2,1,0.0003,-0.0246,340,-0.0115,0.000192
36,513,143,73728,0.006354401,0.0765,0.2,-1.18,1,0.0003,-0.029,350,-0.00421,0.000146
37,514,147,75776,0.010528056,0.123,0.2,-1.14,1,0.0003,-0.0121,360,-0.00564,0.000136
38,515,150,77824,0.01056935,0.115,0.2,-1.12,1,0.0003,0.0293,370,-0.00551,0.000156
39,513,155,79872,0.006262112,0.036,0.2,-1.08,1,0.0003,-0.0179,380,-0.00326,9.61E-05
40,514,159,81920,0.007354439,0.0727,0.2,-1.04,1,0.0003,-0.0156,390,-0.00436,9.10E-05
41,515,163,83968,0.012097294,0.0318,0.2,-1.03,1,0.0003,-0.025,400,-7.35E-05,0.000153
42,514,167,86016,0.01143515,0.0508,0.2,-1.04,1,0.0003,-0.0342,410,-0.000226,0.000112
43,515,170,88064,0.004078565,0.0332,0.2,-1.01,0.998,0.0003,-0.0317,420,-0.00328,0.000728
44,516,174,90112,0.019124892,0.0614,0.2,-1.02,0.998,0.0003,0.0252,430,0.00492,0.000425
45,516,178,92160,0.007840705,0.0371,0.2,-1.04,0.998,0.0003,0.00892,440,-0.00119,0.000212
46,515,182,94208,0.009492815,0.0864,0.2,-1.04,0.999,0.0003,-0.0221,450,-0.0053,0.000291
47,516,186,96256,0.009261341,0.0501,0.2,-1.05,0.999,0.0003,-0.0268,460,-0.0086,0.000192
48,516,190,98304,0.011020828,0.116,0.2,-1.04,1,0.0003,-0.0376,470,-0.00882,0.000197
49,515,194,100352,0.016046662,0.0622,0.2,-1.04,0.999,0.0003,-0.0258,480,-0.00863,0.000111
