rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/approx_kl,train/clip_fraction,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/loss,train/n_updates,train/policy_gradient_loss,train/value_loss
380,-66.5,1008,1,4,4096,,,,,,,
390,-54.7,562,2,14,8192,0.004314935,0.317,0.1,-1.79,0.00655,5e-05,8.78,10,-0.022,7.92
393,-44.7,462,3,26,12288,0.0041500046,0.239,0.1,-1.78,0.0819,5e-05,7.41,20,-0.019,6.64
395,-36.4,435,4,37,16384,0.004235096,0.264,0.1,-1.77,0.14,5e-05,5.47,30,-0.0202,8.67
396,-29,410,5,49,20480,0.003637727,0.241,0.1,-1.76,0.107,5e-05,13,40,-0.0191,10.9
397,-21.6,355,6,69,24576,0.0042857495,0.21,0.1,-1.75,0.123,5e-05,6.51,50,-0.0177,8.87
393,-0.0595,335,7,85,28672,0.0040645623,0.192,0.1,-1.74,0.117,5e-05,9.02,60,-0.0142,10.1
390,15.4,320,8,102,32768,0.0030291923,0.124,0.1,-1.73,0.00378,5e-05,15.8,70,-0.00835,280
387,34.2,299,9,122,36864,0.0029557883,0.131,0.1,-1.72,0.0265,5e-05,48,80,-0.00726,275
378,69.9,288,10,142,40960,0.0032607727,0.125,0.1,-1.72,0.019,5e-05,2320,90,-0.00593,430
359,116,278,11,161,45056,0.003210566,0.0984,0.1,-1.71,0.0459,5e-05,1630,100,-0.00472,738
345,160,270,12,181,49152,0.0023836906,0.0877,0.1,-1.7,0.0725,5e-05,716,110,-0.00361,869
309,221,263,13,202,53248,0.0025491961,0.0762,0.1,-1.69,0.112,5e-05,730,120,-0.00203,884
281,267,261,14,219,57344,0.0028100451,0.113,0.1,-1.68,0.147,5e-05,91,130,-0.00346,1250
257,290,261,15,235,61440,0.0015308119,0.0489,0.1,-1.67,0.192,5e-05,409,140,-0.00127,1190
234,314,266,16,245,65536,0.0016381997,0.0693,0.1,-1.67,0.233,5e-05,304,150,-0.00182,896
223,316,271,17,256,69632,0.002402354,0.119,0.1,-1.66,0.214,5e-05,1790,160,-0.00294,1190
202,326,275,18,267,73728,0.0022896647,0.103,0.1,-1.65,0.276,5e-05,1030,170,-0.00151,1160
193,329,278,19,279,77824,0.0013864925,0.0561,0.1,-1.63,0.3,5e-05,2450,180,-0.00121,1440
182,332,282,20,290,81920,0.0021811072,0.0787,0.1,-1.64,0.265,5e-05,726,190,-0.0014,1190
158,336,285,21,301,86016,0.0015397875,0.0868,0.1,-1.63,0.319,5e-05,1050,200,-0.00129,1140
157,336,287,22,313,90112,0.0020463555,0.113,0.1,-1.61,0.345,5e-05,238,210,-0.00272,1440
147,340,290,23,324,94208,0.0016724896,0.0657,0.1,-1.61,0.344,5e-05,184,220,-0.000405,1130
149,339,293,24,335,98304,0.0016730591,0.104,0.1,-1.6,0.413,5e-05,386,230,-0.00134,1170
152,339,295,25,346,102400,0.0020391503,0.077,0.1,-1.6,0.416,5e-05,620,240,-0.00134,1010
147,340,297,26,357,106496,0.0018107349,0.0919,0.1,-1.59,0.449,5e-05,803,250,-0.000576,978
139,343,299,27,368,110592,0.001722259,0.0898,0.1,-1.57,0.484,5e-05,1010,260,-0.0012,1070
121,344,301,28,380,114688,0.0014911076,0.068,0.1,-1.56,0.532,5e-05,2870,270,-0.00105,1130
113,344,302,29,392,118784,0.0018227798,0.0834,0.1,-1.55,0.541,5e-05,1100,280,-0.00133,1170
110,345,304,30,403,122880,0.0016818556,0.0867,0.1,-1.53,0.546,5e-05,430,290,-0.0014,1130
108,345,305,31,415,126976,0.0018080247,0.0978,0.1,-1.52,0.574,5e-05,1140,300,-0.000999,999
106,345,307,32,426,131072,0.001778141,0.103,0.1,-1.52,0.583,5e-05,586,310,-0.00112,954
101,345,308,33,437,135168,0.002269214,0.103,0.1,-1.51,0.579,5e-05,1570,320,-0.00155,935
96.6,345,309,34,449,139264,0.0017497382,0.0804,0.1,-1.48,0.598,5e-05,808,330,-0.00165,964
90.7,346,307,35,466,143360,0.002217377,0.0936,0.1,-1.48,0.616,5e-05,667,340,-0.0016,865
88.4,346,302,36,487,147456,0.0017191009,0.122,0.1,-1.45,0.673,5e-05,763,350,-0.00209,859
85.5,346,299,37,506,151552,0.0014206821,0.1,0.1,-1.44,0.669,5e-05,869,360,-0.00155,817
86.2,346,297,38,522,155648,0.0021119814,0.0975,0.1,-1.43,0.691,5e-05,855,370,-0.00206,773
80.9,346,296,39,538,159744,0.00217245,0.121,0.1,-1.43,0.662,5e-05,651,380,-0.00326,751
75.8,346,295,40,554,163840,0.0021806578,0.107,0.1,-1.4,0.711,5e-05,681,390,-0.00218,728
73.6,346,296,41,566,167936,0.0017377433,0.11,0.1,-1.39,0.72,5e-05,429,400,-0.00102,671
75.7,346,297,42,578,172032,0.0017746756,0.0983,0.1,-1.37,0.741,5e-05,572,410,-0.00247,616
74,346,298,43,589,176128,0.0021660477,0.13,0.1,-1.37,0.711,5e-05,434,420,-0.00272,576
73.4,346,300,44,600,180224,0.0018866402,0.0895,0.1,-1.35,0.72,5e-05,636,430,-0.00131,600
70.3,346,301,45,612,184320,0.0018724606,0.122,0.1,-1.34,0.735,5e-05,408,440,-0.00239,517
65.4,346,302,46,623,188416,0.0018600896,0.102,0.1,-1.31,0.74,5e-05,380,450,-0.00188,513
65.6,346,303,47,634,192512,0.0021377099,0.0976,0.1,-1.3,0.783,5e-05,375,460,-0.00136,440
65.3,347,304,48,646,196608,0.0017162899,0.116,0.1,-1.29,0.746,5e-05,597,470,-0.00191,477
63.7,347,305,49,657,200704,0.0019737394,0.11,0.1,-1.27,0.767,5e-05,338,480,-0.00316,437
60.3,347,306,50,668,204800,0.0019839928,0.117,0.1,-1.26,0.762,5e-05,274,490,-0.00233,414
59.4,347,307,51,680,208896,0.0018003298,0.105,0.1,-1.24,0.792,5e-05,461,500,-0.00291,382
57.1,347,307,52,691,212992,0.0019696783,0.0914,0.1,-1.22,0.807,5e-05,462,510,-0.00135,334
56,347,308,53,702,217088,0.0012437925,0.0838,0.1,-1.2,0.806,5e-05,288,520,-0.00157,316
56.4,347,309,54,714,221184,0.0016191223,0.0942,0.1,-1.18,0.788,5e-05,346,530,-0.00246,301
54.6,347,310,55,725,225280,0.0016448193,0.0868,0.1,-1.18,0.797,5e-05,260,540,-0.000757,266
51.1,347,311,56,737,229376,0.0019674182,0.104,0.1,-1.16,0.769,5e-05,239,550,-0.000929,273
53.7,347,311,57,748,233472,0.0024616965,0.12,0.1,-1.13,0.814,5e-05,243,560,-0.00144,233
51.4,347,312,58,759,237568,0.0015508916,0.106,0.1,-1.14,0.798,5e-05,255,570,-0.00322,234
49.5,347,313,59,770,241664,0.0024848492,0.0931,0.1,-1.11,0.823,5e-05,185,580,-0.00158,195
49.3,347,314,60,782,245760,0.0015814885,0.0956,0.1,-1.1,0.829,5e-05,162,590,-0.000603,195
47.8,347,314,61,794,249856,0.0013598218,0.076,0.1,-1.08,0.784,5e-05,243,600,-0.00104,225
48.9,347,314,62,807,253952,0.0017785726,0.12,0.1,-1.06,0.833,5e-05,156,610,-0.00254,172
50.1,347,314,63,819,258048,0.0016881947,0.0948,0.1,-1.05,0.799,5e-05,202,620,-0.00131,191
47.9,347,315,64,831,262144,0.001699808,0.113,0.1,-1.05,0.811,5e-05,137,630,-0.00135,174
47.5,347,315,65,843,266240,0.002125774,0.0912,0.1,-1.02,0.83,5e-05,240,640,-0.000718,174
45.3,347,315,66,856,270336,0.0016681275,0.0882,0.1,-0.999,0.797,5e-05,221,650,-0.000926,180
