Step,Pos_x,Pos_y,Pos_z,Goal_x,Goal_y,Goal_z,Reward,LIDAR_0,LIDAR_1,LIDAR_2,LIDAR_3,LIDAR_4,LIDAR_5
1,6,9,1,6,14,3,2.07,10.0,7.0,10.0,10.0,4.0,2.0
2,6,10,1,6,14,3,2.02,10.0,7.0,10.0,10.0,4.0,2.0
3,6,11,1,6,14,3,1.92,10.0,7.0,10.0,10.0,4.0,2.0
4,6,12,1,6,14,3,1.71,10.0,7.0,10.0,10.0,4.0,2.0
5,6,12,2,6,14,3,1.48,10.0,7.0,10.0,10.0,3.0,3.0
6,6,13,2,6,14,3,1.84,10.0,7.0,10.0,10.0,3.0,3.0
7,6,13,3,6,14,3,1.07,10.0,7.0,10.0,10.0,2.0,4.0
8,6,14,3,11,13,2,12.27,10.0,7.0,10.0,10.0,2.0,4.0
9,7,14,3,11,13,2,2.61,10.0,8.0,10.0,10.0,2.0,4.0
10,8,14,3,11,13,2,2.54,10.0,9.0,10.0,10.0,2.0,4.0
11,9,14,3,11,13,2,2.38,10.0,10.0,10.0,10.0,2.0,4.0
12,10,14,3,11,13,2,1.95,10.0,10.0,10.0,10.0,2.0,4.0
13,11,14,3,11,13,2,0.8,10.0,10.0,10.0,10.0,2.0,4.0
14,11,13,3,11,13,2,1.09,10.0,10.0,10.0,10.0,2.0,4.0
15,11,13,2,11,8,4,12.99,10.0,10.0,10.0,10.0,3.0,3.0
16,11,12,2,11,8,4,2.4,10.0,10.0,10.0,10.0,3.0,3.0
17,11,11,2,11,8,4,2.28,10.0,10.0,10.0,10.0,3.0,3.0
18,11,10,2,11,8,4,2.04,10.0,10.0,10.0,10.0,3.0,3.0
19,11,10,3,11,8,4,1.73,10.0,10.0,10.0,10.0,2.0,4.0
20,11,9,3,11,8,4,2.18,10.0,10.0,10.0,10.0,2.0,4.0
21,11,8,3,11,8,4,1.04,10.0,10.0,10.0,9.0,2.0,4.0
22,11,8,4,6,8,1,12.89,10.0,10.0,10.0,9.0,1.0,5.0
23,10,8,4,6,8,1,1.99,10.0,10.0,10.0,9.0,1.0,5.0
24,9,8,4,6,8,1,1.81,10.0,10.0,10.0,9.0,1.0,5.0
25,8,8,4,6,8,1,1.5,10.0,9.0,10.0,9.0,1.0,5.0
26,8,8,3,6,8,1,2.07,10.0,9.0,10.0,9.0,2.0,4.0
27,8,8,2,6,8,1,1.6,10.0,9.0,10.0,9.0,3.0,3.0
28,7,8,2,6,8,1,2.0,10.0,8.0,10.0,9.0,3.0,3.0
29,6,8,2,6,8,1,0.96,10.0,7.0,10.0,9.0,3.0,3.0
30,6,8,1,6,8,1,262.67,10.0,7.0,10.0,9.0,4.0,2.0
