iteration,ep_len_mean,ep_rew_mean,fps,time_elapsed,total_timesteps,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
1,387,-58.3,1039,1,2048,,,,,,,
3,396,-42.2,582,10,6144,0.012202772,0.176,0.2,-1.78,0.0386,0.0001,7.63,40,-0.0244,9.28
5,397,-23.4,519,19,10240,0.01109519,0.122,0.2,-1.75,0.116,0.0001,5.6,80,-0.0245,13
7,398,1.52,488,29,14336,0.013831546,0.182,0.2,-1.72,0.0142,0.0001,12.6,120,-0.0253,19.4
9,387,38.2,459,40,18432,0.0044412035,0.0147,0.2,-1.71,-0.00653,0.0001,29,160,-0.00373,541
11,368,78.1,442,50,22528,0.005161819,0.0456,0.2,-1.71,0.125,0.0001,1680,200,-0.00374,1180
13,363,101,432,61,26624,0.013036197,0.161,0.2,-1.7,0.36,0.0001,537,240,-0.012,237
15,342,141,426,72,30720,0.011341062,0.0856,0.2,-1.68,0.205,0.0001,1340,280,-0.00694,1510
17,324,178,421,82,34816,0.006433365,0.0439,0.2,-1.68,0.288,0.0001,898,320,-0.00439,911
19,293,239,418,93,38912,0.005566499,0.0672,0.2,-1.67,0.331,0.0001,788,360,-0.00507,1210
21,257,288,415,103,43008,0.004939831,0.0546,0.2,-1.67,0.415,0.0001,577,400,-0.00257,1040
23,235,309,411,114,47104,0.0053005395,0.0429,0.2,-1.65,0.468,0.0001,345,440,-0.00194,852
25,225,312,408,125,51200,0.008317207,0.0991,0.2,-1.65,0.337,0.0001,1300,480,-0.00633,711
27,205,324,405,136,55296,0.008115949,0.0979,0.2,-1.62,0.468,0.0001,1030,520,-0.00779,1110
29,200,325,403,147,59392,0.00971771,0.098,0.2,-1.64,0.322,0.0001,335,560,-0.00818,663
31,189,328,401,158,63488,0.004699548,0.0641,0.2,-1.6,0.482,0.0001,846,600,-0.00338,771
33,172,332,399,169,67584,0.008655147,0.0843,0.2,-1.58,0.447,0.0001,817,640,-0.00612,813
35,151,336,397,180,71680,0.006510921,0.0605,0.2,-1.57,0.534,0.0001,526,680,-0.00329,820
37,140,339,396,191,75776,0.0048736343,0.0397,0.2,-1.56,0.595,0.0001,486,720,-0.00216,601
39,126,345,395,202,79872,0.0023873115,0.0427,0.2,-1.54,0.663,0.0001,550,760,-0.00298,510
41,123,342,394,212,83968,0.0033430094,0.0292,0.2,-1.52,0.713,0.0001,385,800,-0.00255,440
43,118,343,393,223,88064,0.005119543,0.0439,0.2,-1.51,0.64,0.0001,232,840,-0.00309,421
45,109,346,392,234,92160,0.00877431,0.0689,0.2,-1.5,0.659,0.0001,339,880,-0.00563,365
47,101,346,390,246,96256,0.0046327314,0.0799,0.2,-1.48,0.672,0.0001,243,920,-0.00682,350
49,98.5,346,387,258,100352,0.008793774,0.0978,0.2,-1.49,0.516,0.0001,193,960,-0.00827,244
51,95.5,346,385,271,104448,0.010669868,0.099,0.2,-1.45,0.514,0.0001,193,1000,-0.00609,298
53,88.6,346,382,283,108544,0.007890628,0.104,0.2,-1.43,0.679,0.0001,265,1040,-0.00962,230
55,84.7,347,380,295,112640,0.0032106717,0.0714,0.2,-1.41,0.637,0.0001,192,1080,-0.00398,260
57,79,347,378,308,116736,0.0069079977,0.0769,0.2,-1.39,0.559,0.0001,182,1120,-0.00676,206
59,78.3,347,377,320,120832,0.008543555,0.115,0.2,-1.39,0.602,0.0001,121,1160,-0.00703,205
61,70.7,347,376,332,124928,0.004054946,0.0669,0.2,-1.34,0.667,0.0001,141,1200,-0.00295,170
63,71.6,347,375,343,129024,0.007991586,0.141,0.2,-1.34,0.308,0.0001,139,1240,-0.00983,177
65,71.9,347,373,356,133120,0.0076890835,0.0567,0.2,-1.3,0.548,0.0001,152,1280,-0.00166,164
67,62.4,347,371,369,137216,0.004809454,0.0588,0.2,-1.25,0.552,0.0001,196,1320,-0.00448,182
69,62,347,370,381,141312,0.01262391,0.102,0.2,-1.25,0.433,0.0001,116,1360,-0.00679,163
71,55,347,369,393,145408,0.0057419464,0.0934,0.2,-1.16,0.574,0.0001,77.2,1400,-0.00424,97
73,50.9,347,368,405,149504,0.007424048,0.119,0.2,-1.12,0.339,0.0001,107,1440,-0.00791,95.4
75,46.6,347,367,417,153600,0.0058499416,0.0688,0.2,-1.04,0.249,0.0001,70.9,1480,-0.00503,92.4
77,44.2,347,366,429,157696,0.0060720583,0.0749,0.2,-0.964,0.222,0.0001,64,1520,-0.0049,85.8
79,41.9,347,366,441,161792,0.009147018,0.158,0.2,-0.897,0.076,0.0001,75.7,1560,-0.0117,84.5
81,38.1,348,365,453,165888,0.006557122,0.119,0.2,-0.79,0.0673,0.0001,53.6,1600,-0.0101,55.1
83,34.7,348,365,465,169984,0.0070833955,0.0949,0.2,-0.652,0.0662,0.0001,25.1,1640,-0.00677,27.5
85,33,348,364,477,174080,0.0045233523,0.0837,0.2,-0.522,0.369,0.0001,9.62,1680,-0.00726,16
87,31.9,348,364,489,178176,0.004916203,0.0775,0.2,-0.446,0.635,0.0001,6.35,1720,-0.00217,9.51
89,31.6,348,363,501,182272,0.005344769,0.0819,0.2,-0.401,0.735,0.0001,11.3,1760,-0.00699,8.07
91,31.1,348,362,513,186368,0.0037164262,0.0934,0.2,-0.375,0.791,0.0001,6.45,1800,-0.000172,5.62
93,31,348,362,526,190464,0.01620244,0.0842,0.2,-0.36,0.874,0.0001,2.34,1840,-0.00635,4.07
95,30.9,348,361,538,194560,0.012058716,0.124,0.2,-0.337,0.897,0.0001,2.19,1880,-0.00327,2.98
97,30.6,348,361,549,198656,0.010596745,0.101,0.2,-0.332,0.91,0.0001,1.65,1920,0.000571,3.07
99,30.4,348,360,562,202752,0.019085657,0.11,0.2,-0.325,0.939,0.0001,1.35,1960,0.00275,1.94
101,30.3,348,360,574,206848,0.0046837614,0.104,0.2,-0.321,0.977,0.0001,0.501,2000,0.0131,0.766
103,30.3,348,359,586,210944,0.0043786694,0.116,0.2,-0.322,0.957,0.0001,1.92,2040,0.00732,1.51
105,30.3,348,358,599,215040,0.007663382,0.117,0.2,-0.302,0.953,0.0001,1.74,2080,-0.000247,1.65
107,30.2,348,358,611,219136,0.0058763474,0.118,0.2,-0.292,0.984,0.0001,0.356,2120,0.00455,0.521
109,30.3,348,357,624,223232,0.022455022,0.12,0.2,-0.303,0.935,0.0001,6.83,2160,-0.00111,2.25
111,30.9,348,357,636,227328,0.025095362,0.137,0.2,-0.304,0.977,0.0001,0.766,2200,0.00371,0.791
113,30.2,348,357,648,231424,0.008445421,0.103,0.2,-0.299,0.962,0.0001,1.57,2240,-0.0016,0.936
115,30.2,348,356,659,235520,0.008738667,0.0914,0.2,-0.269,0.963,0.0001,0.688,2280,0.000964,0.951
117,30.2,348,356,671,239616,0.003559596,0.123,0.2,-0.296,0.989,0.0001,0.27,2320,0.00757,0.371
119,30.2,348,355,684,243712,0.008734099,0.146,0.2,-0.281,0.985,0.0001,0.478,2360,0.000658,0.492
121,30.2,348,355,696,247808,0.03117317,0.153,0.2,-0.286,0.978,0.0001,1.01,2400,0.000369,0.737
123,30.2,348,355,709,251904,0.031241614,0.146,0.2,-0.265,0.987,0.0001,0.435,2440,-0.00071,0.43
125,30.1,348,354,721,256000,0.015069423,0.133,0.2,-0.298,0.979,0.0001,0.927,2480,-0.00417,0.693
127,30.1,348,354,733,260096,0.016641025,0.167,0.2,-0.274,0.993,0.0001,0.158,2520,0.00567,0.246
129,30.2,348,353,746,264192,0.0148829445,0.167,0.2,-0.274,0.991,0.0001,0.7,2560,0.0149,0.322
131,30.1,348,353,758,268288,0.011156402,0.101,0.2,-0.267,0.99,0.0001,0.0629,2600,0.004,0.348
133,30.1,348,353,770,272384,0.017562948,0.132,0.2,-0.28,0.989,0.0001,0.332,2640,0.0027,0.388
135,30.2,348,353,782,276480,0.0130436,0.123,0.2,-0.287,0.992,0.0001,0.0208,2680,0.00448,0.239
137,30.2,348,352,795,280576,0.025750192,0.134,0.2,-0.278,0.984,0.0001,0.318,2720,0.00305,0.554
139,30.1,348,352,807,284672,0.04283888,0.186,0.2,-0.276,0.98,0.0001,0.296,2760,0.00123,0.684
141,30.2,348,352,820,288768,0.016677089,0.122,0.2,-0.278,0.964,0.0001,0.443,2800,-0.00195,1.26
143,30.2,348,351,832,292864,0.018881423,0.145,0.2,-0.248,0.967,0.0001,0.511,2840,-0.00355,1.16
145,30.3,348,351,844,296960,0.02836627,0.141,0.2,-0.281,0.99,0.0001,0.377,2880,0.00497,0.35
147,30.2,348,351,856,301056,0.023494463,0.0978,0.2,-0.259,0.965,0.0001,0.49,2920,0.00128,1.14
