iteration,ep_len_mean,ep_rew_mean,fps,iterations,time_elapsed,total_timesteps,approx_kl,clip_fraction,clip_range,entropy_loss,explained_variance,learning_rate,loss,n_updates,policy_gradient_loss,value_loss
1,2.9,-4.86,714,1,5,4096,,,,,,,
2,3.69,-4.8,429,2,19,8192,0.020525448,0.653,0.2,-1.77,0.0244,2e-05,0.738,30,-0.0917,2.55
3,4.84,-4.17,349,3,35,12288,0.01818366,0.546,0.2,-1.72,0.0151,2e-05,0.864,60,-0.077,1.66
4,6.96,-3.43,312,4,52,16384,0.019988507,0.557,0.2,-1.64,0.0238,2e-05,2.27,90,-0.0748,2.52
5,7.89,-2.5,298,5,68,20480,0.02201892,0.413,0.2,-1.53,-0.000344,2e-05,240,120,-0.0495,113
6,8.27,-1.62,292,6,83,24576,0.016395073,0.271,0.2,-1.41,0.00526,2e-05,3.85,150,-0.0373,108
7,9.84,1.58,288,7,99,28672,0.0038639088,0.0321,0.2,-1.36,-0.00558,2e-05,783,180,-0.00511,705
8,9.15,9.8,285,8,114,32768,0.01102845,0.0995,0.2,-1.26,0.00431,2e-05,595,210,-0.0132,308
9,10.8,10.5,283,9,130,36864,0.008357138,0.0345,0.2,-1.22,0.002,2e-05,856,240,-0.00504,1080
10,12.1,1.77,280,10,145,40960,0.008981448,0.0495,0.2,-1.2,0.00679,2e-05,1030,270,-0.00545,1200
11,13.1,13.3,279,11,161,45056,0.0055227675,0.0255,0.2,-1.19,0.0154,2e-05,637,300,-0.0047,985
12,12.4,27.7,279,12,175,49152,0.010368247,0.0466,0.2,-1.17,0.0193,2e-05,1440,330,-0.00628,1900
13,14.1,17.8,281,13,189,53248,0.0070232647,0.0295,0.2,-1.1,0.0284,2e-05,773,360,-0.00492,2440
14,15.5,18.4,282,14,202,57344,0.004589921,0.00598,0.2,-1.11,0.0467,2e-05,1860,390,-0.00416,2070
15,16.9,24.8,283,15,216,61440,0.005569037,0.0164,0.2,-1.09,0.0401,2e-05,2450,420,-0.00351,2460
16,18.1,54.4,284,16,230,65536,0.0059134252,0.0288,0.2,-1.08,0.0569,2e-05,2540,450,-0.0055,3030
17,18.1,39.4,284,17,244,69632,0.00505591,0.024,0.2,-1.09,0.0767,2e-05,4160,480,-0.00559,3670
18,18.5,56.9,284,18,258,73728,0.004619049,0.0259,0.2,-1.11,0.0578,2e-05,2540,510,-0.00583,3510
19,20.3,52.3,285,19,272,77824,0.006687418,0.0346,0.2,-1.05,0.0487,2e-05,4210,540,-0.00783,4460
20,18.8,56.7,285,20,287,81920,0.0056941463,0.00943,0.2,-1.06,0.0576,2e-05,2490,570,-0.00509,4000
21,20.1,84.2,285,21,301,86016,0.0057582958,0.0229,0.2,-1.04,0.0643,2e-05,4220,600,-0.00628,4810
22,21.1,73.4,285,22,315,90112,0.004586167,0.03,0.2,-1.03,0.0867,2e-05,4260,630,-0.00656,5210
23,21.9,98.7,285,23,330,94208,0.003888018,0.0138,0.2,-1.04,0.0679,2e-05,3300,660,-0.00572,4630
24,21.2,120,285,24,344,98304,0.004797881,0.0292,0.2,-0.99,0.0976,2e-05,4930,690,-0.00661,5190
25,24,92.4,285,25,358,102400,0.004054812,0.0123,0.2,-0.956,0.097,2e-05,3990,720,-0.00454,5770
26,23.3,107,285,26,372,106496,0.0042507094,0.00639,0.2,-0.968,0.0571,2e-05,3860,750,-0.00467,4970
