Epoch,GPU_mem,box_loss,cls_loss,dfl_loss,Instances,Size,Images,Instances_Box,Box_P,Box_R,mAP50,mAP50_95
1/100,2.03G,0.3508,2.484,1.075,24,640,469,469,0.426,0.686,0.621,0.59
2/100,2.81G,0.2162,1.478,0.9588,24,640,469,469,0.555,0.716,0.722,0.619
3/100,2.83G,0.2231,1.379,0.9527,26,640,469,469,0.614,0.477,0.573,0.486
4/100,2.85G,0.2243,1.301,0.9485,25,640,469,469,0.651,0.676,0.707,0.516
5/100,2.86G,0.213,1.258,0.9444,20,640,469,469,0.543,0.549,0.621,0.469
6/100,2.87G,0.1939,1.164,0.9295,26,640,469,469,0.745,0.727,0.843,0.815
7/100,2.9G,0.1894,1.054,0.9236,27,640,469,469,0.768,0.727,0.816,0.705
8/100,2.91G,0.1774,1.053,0.9341,29,640,469,469,0.767,0.73,0.83,0.787
9/100,2.93G,0.1684,0.9985,0.9168,21,640,469,469,0.651,0.746,0.8,0.778
10/100,2.94G,0.1555,0.9493,0.9087,22,640,469,469,0.677,0.63,0.727,0.695
11/100,2.96G,0.1629,0.9209,0.9173,22,640,469,469,0.721,0.739,0.814,0.781
12/100,2.98G,0.1488,0.8838,0.9062,21,640,469,469,0.648,0.684,0.815,0.804
13/100,3G,0.1401,0.8781,0.9064,18,640,469,469,0.715,0.739,0.842,0.83
14/100,3.01G,0.1427,0.8937,0.9048,21,640,469,469,0.719,0.787,0.866,0.84
15/100,3.03G,0.135,0.8114,0.9009,23,640,469,469,0.762,0.784,0.869,0.85
16/100,3.05G,0.1283,0.8128,0.8989,29,640,469,469,0.733,0.696,0.771,0.742
17/100,3.07G,0.1314,0.7805,0.9011,26,640,469,469,0.74,0.817,0.859,0.834
18/100,3.08G,0.1286,0.7829,0.9003,26,640,469,469,0.511,0.731,0.731,0.698
19/100,3.1G,0.1244,0.7635,0.8962,24,640,469,469,0.788,0.775,0.863,0.835
20/100,3.12G,0.1296,0.7201,0.8952,27,640,469,469,0.777,0.754,0.854,0.847
21/100,3.13G,0.1201,0.7493,0.8963,28,640,469,469,0.85,0.776,0.872,0.863
22/100,3.15G,0.1143,0.7516,0.8924,22,640,469,469,0.768,0.71,0.834,0.814
23/100,3.17G,0.1194,0.7014,0.896,22,640,469,469,0.815,0.809,0.891,0.875
24/100,3.19G,0.1179,0.6977,0.8911,27,640,469,469,0.842,0.696,0.828,0.804
25/100,3.2G,0.1074,0.6787,0.8881,27,640,469,469,0.675,0.621,0.78,0.775
26/100,3.21G,0.1075,0.6596,0.884,25,640,469,469,0.805,0.824,0.899,0.832
27/100,3.24G,0.1122,0.6476,0.8893,27,640,469,469,0.76,0.759,0.862,0.853
28/100,3.26G,0.1053,0.6639,0.8915,25,640,469,469,0.795,0.824,0.89,0.878
29/100,3.27G,0.1027,0.6397,0.8817,26,640,469,469,0.773,0.824,0.887,0.864
30/100,3.28G,0.1027,0.6259,0.8843,23,640,469,469,0.85,0.802,0.889,0.871
31/100,3.31G,0.09939,0.6206,0.8884,29,640,469,469,0.873,0.785,0.902,0.892
32/100,3.32G,0.09954,0.6198,0.8797,24,640,469,469,0.844,0.776,0.895,0.889
33/100,3.34G,0.1,0.6057,0.8917,27,640,469,469,0.869,0.791,0.894,0.875
34/100,3.35G,0.09817,0.5769,0.8858,24,640,469,469,0.868,0.774,0.909,0.887
