Episode,Reward,Steps,Success,Collisions
1,-72.45,296,0,0
2,-78.08,400,0,0
3,-59.11,400,0,0
4,-58.67,300,0,0
5,-67.96,400,0,0
6,-62.82,400,0,0
7,-75.45,400,0,0
8,-72.27,400,0,0
9,-39.86,400,0,0
10,-78.73,400,0,0
11,-44.68,400,0,0
12,-46.5,400,0,0
13,-31.95,400,0,0
14,-25.11,400,0,0
15,-68.99,400,0,0
16,-47.0,400,0,0
17,-43.74,400,0,0
18,-58.41,400,0,0
19,-30.88,400,0,0
20,-31.25,400,0,0
21,-50.69,400,0,0
22,-17.24,400,0,0
23,-24.89,400,0,0
24,-32.31,400,0,0
25,-4.9,400,0,0
26,-31.52,400,0,0
27,-24.35,400,0,0
28,-47.16,400,0,0
29,-8.31,400,0,0
30,-19.86,400,0,0
31,-30.97,400,0,0
32,26.24,400,0,0
33,-13.02,400,0,0
34,-44.13,400,0,0
35,-28.36,400,0,0
36,-0.13,400,0,0
37,-0.07,400,0,0
38,-19.75,400,0,0
39,-22.91,400,0,0
40,16.7,400,0,0
41,-20.8,400,0,0
42,-23.24,400,0,0
43,52.18,400,0,0
44,-7.5,400,0,0
45,0.67,400,0,0
46,6.0,400,0,0
47,-1.77,400,0,0
48,-18.66,400,0,0
49,-0.35,400,0,0
50,-25.44,400,0,0
51,30.98,400,0,0
52,5.49,400,0,0
53,60.38,400,0,0
54,10.54,400,0,0
55,48.38,400,0,0
56,8.25,400,0,0
57,-1.85,400,0,0
58,1.94,400,0,0
59,8.77,400,0,0
60,8.71,400,0,0
61,13.33,400,0,0
62,60.47,400,0,0
63,9.98,400,0,0
64,-2.19,400,0,0
65,35.09,400,0,0
66,59.16,400,0,0
67,332.69,313,0,0
68,32.75,400,0,0
69,28.21,400,0,0
70,64.13,400,0,0
71,20.18,400,0,0
72,338.83,261,0,0
73,331.9,285,0,0
74,65.11,400,0,0
75,61.61,400,0,0
76,26.27,400,0,0
77,53.18,400,0,0
78,331.91,337,0,0
79,44.42,400,0,0
80,6.15,400,0,0
81,11.26,400,0,0
82,337.72,235,0,0
83,330.96,295,0,0
84,32.21,400,0,0
85,37.86,400,0,0
86,332.88,335,0,0
87,328.9,343,0,0
88,62.79,400,0,0
89,50.05,400,0,0
90,326.01,376,0,0
91,328.26,360,0,0
92,32.9,400,0,0
93,335.13,256,0,0
